Weather,Time_of_Day,Traffic_Density,Road_Type,Road_Condition,Accident_History,Road_Safe_to_Travel
Rainy,Morning,High,Main Road,Bad,Low,Unsafe
Stormy,Morning,High,Rural Road,Good,Medium,Unsafe
Rainy,Afternoon,High,Service Road,Bad,Medium,Unsafe
Rainy,Afternoon,High,Highway,Bad,Low,Unsafe
Rainy,Evening,Medium,Rural Road,Good,High,Unsafe
Stormy,Night,High,Rural Road,Good,High,Unsafe
Foggy,Morning,Low,Highway,Bad,Low,Unsafe
Cloudy,Evening,Medium,Highway,Bad,High,Unsafe
Rainy,Afternoon,High,Rural Road,Bad,,Unsafe
Stormy,Evening,High,Highway,Good,High,Unsafe
Clear,Evening,Low,Highway,Bad,Medium,Safe
Foggy,Night,Medium,Residential Street,Good,Medium,Safe
Rainy,Evening,Low,Residential Street,Bad,High,Unsafe
Rainy,Morning,Low,Highway,Bad,Medium,Unsafe
Cloudy,Night,Low,Residential Street,Good,Low,Safe
Stormy,Evening,Low,Rural Road,Good,High,Unsafe
Clear,Morning,Medium,Service Road,Good,High,Safe
Clear,Evening,Low,Service Road,Good,Low,Safe
Clear,Afternoon,High,Service Road,Bad,High,Unsafe
Rainy,Night,High,Rural Road,Good,Medium,Unsafe
Stormy,Morning,Medium,Residential Street,Bad,High,Unsafe
Foggy,Night,High,Service Road,Good,Low,Safe
Stormy,Afternoon,High,,Good,High,Unsafe
Foggy,Night,High,Rural Road,Good,Medium,Unsafe
Clear,Morning,Low,Rural Road,Bad,Low,Safe
Stormy,Night,High,Rural Road,Good,High,Unsafe
Foggy,Night,Low,Rural Road,Bad,Low,Safe
Cloudy,Night,High,Rural Road,Good,High,Unsafe
Rainy,Afternoon,Low,Rural Road,Bad,Low,Safe
Cloudy,Night,Medium,Rural Road,Good,Medium,Safe
Cloudy,Evening,Medium,Rural Road,Good,High,Safe
Cloudy,Evening,Low,Rural Road,Good,Low,Safe
Foggy,Afternoon,Medium,Rural Road,Good,Low,Safe
Clear,Night,Low,Rural Road,Bad,High,Unsafe
Cloudy,Morning,Low,Rural Road,Bad,High,Unsafe
Clear,Night,High,Rural Road,Good,High,Unsafe
Foggy,Morning,Medium,Rural Road,Bad,Low,Unsafe
Stormy,Afternoon,High,Rural Road,Good,Medium,Unsafe
Rainy,Morning,High,Rural Road,Bad,Medium,Unsafe
Clear,Night,High,Rural Road,Good,High,Unsafe
Stormy,Evening,Medium,Rural Road,Bad,Medium,Unsafe
Stormy,Night,High,Rural Road,Good,Medium,Unsafe
Foggy,Night,High,Rural Road,Bad,Medium,Unsafe
Foggy,Evening,Low,Rural Road,Good,Low,Safe
Rainy,Evening,Medium,Rural Road,Bad,Medium,Unsafe
Stormy,Night,High,Rural Road,Good,High,Unsafe
Rainy,Morning,Medium,Rural Road,Good,Low,Safe
Clear,Night,Low,Rural Road,Good,Medium,Safe
Clear,Afternoon,Medium,Rural Road,Good,Low,Safe
